日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2016-03-21,轻度污染,130,327,88,193,65,92,3.12,44
2016-03-22,良,85,232,44,112,29,53,1.29,54
2016-03-23,良,51,135,18,55,14,28,0.79,55
2016-03-24,优,44,95,15,43,24,41,0.88,48
2016-03-25,良,61,167,25,70,31,62,1.21,36
2016-03-26,良,55,67,25,67,33,54,1.15,37
2016-03-27,良,69,157,33,90,39,72,1.6,31
2016-03-28,良,97,278,65,140,42,73,1.83,41
2016-03-29,良,62,67,26,78,21,43,1.03,48
2016-03-30,良,71,134,31,92,30,55,1.23,43
2016-03-31,轻度污染,132,317,99,189,48,70,1.83,95
2016-04-01,轻度污染,121,310,87,150,21,46,1.26,72
2016-04-02,优,38,27,9,30,11,27,0.63,67
2016-04-03,良,67,255,16,81,22,52,0.95,44
2016-04-04,良,89,318,50,120,47,65,2.38,73
2016-04-05,良,73,245,38,88,23,45,1.19,67
2016-04-06,良,65,224,32,78,20,58,0.98,66
2016-04-07,良,80,258,32,109,25,60,1.05,75
2016-04-08,良,81,252,21,110,23,59,1.21,61
2016-04-09,中度污染,159,334,30,232,10,29,0.61,76
2016-04-10,良,70,208,12,88,9,22,0.5,88
2016-04-11,优,50,81,16,49,11,27,0.57,88
2016-04-12,良,83,256,51,105,19,56,1.38,56
2016-04-13,轻度污染,143,334,107,184,28,76,1.99,46
2016-04-14,良,62,118,30,70,15,52,0.74,80
2016-04-15,良,86,254,54,119,23,69,1.07,80
2016-04-16,良,74,287,42,91,11,46,0.82,86
2016-04-17,优,49,115,13,40,8,31,0.68,75
2016-04-18,优,46,90,14,38,9,39,0.68,70
2016-04-19,良,53,83,24,55,13,57,0.86,54
2016-04-20,良,66,247,38,81,13,52,0.73,70
2016-04-21,轻度污染,109,304,75,140,23,67,1.23,74
2016-04-22,严重污染,254,359,61,354,11,40,0.72,83
2016-04-23,良,54,158,14,58,10,42,0.73,64
2016-04-24,轻度污染,116,321,53,180,31,63,1.45,84
2016-04-25,轻度污染,107,323,53,159,20,45,1.45,95
2016-04-26,良,61,187,22,68,12,35,0.58,94
2016-04-27,良,60,166,29,68,16,52,0.96,69
2016-04-28,良,68,187,24,67,13,48,0.86,92
2016-04-29,良,90,249,48,108,26,62,0.96,107
2016-04-30,轻度污染,102,294,61,128,19,62,0.9,104
2016-05-01,轻度污染,105,293,70,126,21,55,0.9,136
2016-05-02,良,81,276,49,95,10,34,0.65,110
2016-05-03,优,46,60,6,25,7,29,0.49,78
